date,race_no,strategy,horse,jockey,odds,model_prob,market_prob,value_ratio,won,pnl,stake
2026-02-19,10,value_bet,富國兄弟,蔡明紹,20.0,0.07352736563104856,0.03957311743535759,1.8580129743671319,0,-10.0,10.0
2026-02-19,10,value_bet,好評如潮,潘明輝,31.0,0.053706281268543,0.025531043506682314,2.1035678096935717,0,-10.0,10.0
2026-02-19,10,value_bet,金創福威,巴度,60.0,0.04022649843744305,0.013191039145119194,3.0495321858192823,0,-10.0,10.0
2026-02-19,10,favourite,喜慶寶,,1.2,,,,1,2.0,10.0
2026-02-19,10,model_top,喜慶寶,,1.2,,,,1,2.0,10.0
2026-02-19,11,value_bet,駿奕快車,潘明輝,60.0,0.02423998542694652,0.013560299936614143,1.7875700051070533,0,-10.0,10.0
2026-02-19,11,value_bet,同心同樂,麥文堅,35.0,0.03721469371243605,0.023246228462767103,1.600891678925116,1,340.0,10.0
2026-02-19,11,value_bet,做好自己,布文,9.6,0.11435896519911043,0.0847518746038384,1.349338474619783,0,-10.0,10.0
2026-02-19,11,value_bet,北斗福星,田泰安,33.0,0.08961101015423432,0.024655090793843898,3.6345844719667064,0,-10.0,10.0
2026-02-19,11,value_bet,金滙千帥,艾兆禮,17.0,0.09301526923871423,0.047859882129226386,1.9434913982354545,0,-10.0,10.0
2026-02-19,11,favourite,綠野飛馳,,2.7,,,,0,-10.0,10.0
2026-02-19,11,model_top,綠野飛馳,,2.7,,,,0,-10.0,10.0
2026-02-19,2,value_bet,開心樂園,田泰安,7.6,0.19380572938282725,0.10596310232102055,1.8289925940039302,0,-10.0,10.0
2026-02-19,2,value_bet,明亮光輝,梁家俊,8.6,0.20613450698503205,0.09364181135346002,2.2013084113351624,0,-10.0,10.0
2026-02-19,2,value_bet,禾道豐,布文,21.0,0.10504126274226945,0.03834855131617886,2.739119448769206,1,200.0,10.0
2026-02-19,2,favourite,賢者威楓,,2.1,,,,0,-10.0,10.0
2026-02-19,2,model_top,賢者威楓,,2.1,,,,0,-10.0,10.0
2026-02-19,3,value_bet,年年友福,奧爾民,14.0,0.10396623217179052,0.057941407129847855,1.7943339197613912,0,-10.0,10.0
2026-02-19,3,value_bet,彭玥,艾兆禮,18.0,0.09849743787566821,0.04506553887877055,2.1856487312985027,0,-10.0,10.0
2026-02-19,3,favourite,榮耀掌星,,5.4,,,,0,-10.0,10.0
2026-02-19,3,model_top,長峰小子,,5.7,,,,0,-10.0,10.0
2026-02-19,4,value_bet,巴閉哥,布文,16.0,0.09348390747580557,0.05102516436535069,1.8321137940182128,0,-10.0,10.0
2026-02-19,4,value_bet,嘉嘉友福,艾道拿,20.0,0.12335403582805503,0.04082013149228055,3.0218921722822567,0,-10.0,10.0
2026-02-19,4,value_bet,解碼,麥文堅,16.0,0.10865875060575561,0.05102516436535069,2.129512995347483,0,-10.0,10.0
2026-02-19,4,value_bet,瑰麗人生,金誠剛,71.0,0.01777771266716388,0.011498628589374803,1.5460724319412495,0,-10.0,10.0
2026-02-19,4,value_bet,馬鳳凰,何澤堯,15.0,0.0761500406074282,0.0544268419897074,1.3991265673990205,0,-10.0,10.0
2026-02-19,4,value_bet,不勞而獲,周俊樂,77.0,0.04200773919333213,0.010602631556436507,3.962010654593634,0,-10.0,10.0
2026-02-19,4,favourite,天天更好,,3.2,,,,0,-10.0,10.0
2026-02-19,4,model_top,寶成智好,,3.7,,,,0,-10.0,10.0
2026-02-19,5,value_bet,雷神太保,布文,15.0,0.09174934143130789,0.05415857111426962,1.694087187745873,0,-10.0,10.0
2026-02-19,5,value_bet,遨遊首領,潘明輝,12.0,0.09976273185637666,0.06769821389283702,1.4736390536727633,0,-10.0,10.0
